"Computer","Status","OS","PSVersion","Users","TopCPU"
"CLASSPC-119","Online","Майкрософт Windows 10 Pro","5.1.19041.6456","1","chrome, RobloxPlayerBeta, chrome, dwm, chrome"
"127.0.0.1","Online","Майкрософт Windows 10 Pro","5.1.19041.6456","1","chrome, RobloxPlayerBeta, chrome, dwm, chrome"
