"ComputerName","OS","PSVersion","TopProcesses","Time"
"localhost","Майкрософт Windows 10 Pro","5.1.19041.2364","chrome, chrome, System, dwm, rsEngineSvc","26.03.2026 10:47:22"
"127.0.0.1","Майкрософт Windows 10 Pro","5.1.19041.2364","chrome, chrome, System, dwm, rsEngineSvc","26.03.2026 10:47:22"
