"ComputerName","OS","PS_Version","Active_Users","Top_Processes","Time"
"localhost","Windows 10 Pro","5.1.19041.5486","5","chrome, chrome, chrome, explorer, chrome","26.03.2026 10:35:55"
"192.168.1.100","Windows 10 Pro","5.1.19041.5486","5","chrome, chrome, chrome, explorer, chrome","26.03.2026 10:35:57"
